what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519321198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519326577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519327405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519333892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519336997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519354453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519356593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519361475
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336519365987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519366456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519367874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519371628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519375811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519376590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519379583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519389449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1336519393405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336519396017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519396435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519397685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519408378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519410701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519412396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519437613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519448261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519449793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519450110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519451148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519451385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519457284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519457682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519469998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519515002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519516768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519530045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519531100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519541163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519542098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519542757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519543322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519547303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519550478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519552652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519555913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519563283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519567088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519568654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519572182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519577484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519578401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519580639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519581851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519583657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519586375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336519604112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336519606482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519610695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519638963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519640804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519645450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519646469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519648034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519649309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519654075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519662726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519665116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519667721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519669971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519675341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519677863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519686757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519687377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519711746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336519713228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336519713875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336519714322
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519727005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336519732681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519734121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519735008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519735420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519761886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1336519762406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336519763034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519763475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519774570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519775022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519951900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336519957349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520272934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520290701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520291330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520291619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520341236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520345330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520530097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520546081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520602261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520602565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520652232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520706656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520708933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520722888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520723004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520726107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520726212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336520742820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336520743218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336520743619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336520744116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520748912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520748995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336520750695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1336520752076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520764958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520765058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336520803410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336520804580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336520835274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336520840545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336520879387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336520883593
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336520886364
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336520888174
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336520928682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336520929417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520931147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520937093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520938560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520949063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520951571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520980192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1336520980210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520982164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520982945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520983186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520985179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520990923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336520995804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521039258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521039905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521042946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336521045587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336521045949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521047007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521048465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521052699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521082997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521084014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521087593
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336521101556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521102373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521103193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521106028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521129337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521133381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521142467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521154294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521155229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521166445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521178890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521179592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521181866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336521191942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521192506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521193825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336521203654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521210393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521216998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521272126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521304219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336521323425
